iter	MultiClass
0	1.097820851
1	1.097212876
2	1.096463774
3	1.095682846
4	1.095059753
5	1.094415884
6	1.093594355
7	1.093008119
8	1.09232521
9	1.091774925
10	1.091037557
11	1.090338249
12	1.089686879
13	1.089121508
14	1.088599114
15	1.087706343
16	1.086938016
17	1.086404156
18	1.085977508
19	1.085336333
20	1.084797552
21	1.084124484
22	1.083520633
23	1.082768672
24	1.082212163
25	1.081595866
26	1.08086887
27	1.080361373
28	1.079851583
29	1.079269437
30	1.07880904
31	1.078310253
32	1.077815347
33	1.077173059
34	1.076546566
35	1.076198747
36	1.07564356
37	1.075226551
38	1.074505233
39	1.074036736
40	1.073683239
41	1.073242633
42	1.072751227
43	1.07235613
44	1.071900027
45	1.071326716
46	1.070932169
47	1.070463516
48	1.070145727
49	1.069666934
50	1.069337331
51	1.068886162
52	1.068533396
53	1.067943212
54	1.067589067
55	1.067108293
56	1.066819662
57	1.066266176
58	1.065881539
59	1.065412373
60	1.065067081
61	1.064531548
62	1.064138985
63	1.063586313
64	1.063088588
65	1.062709031
66	1.062279089
67	1.061739934
68	1.061471662
69	1.061055163
70	1.060704592
71	1.060323747
72	1.059900561
73	1.059663231
74	1.059344617
75	1.058953833
76	1.058537127
77	1.057782091
78	1.057376511
79	1.057064387
80	1.056797018
81	1.056270013
82	1.055867544
83	1.055268951
84	1.054965468
85	1.054434365
86	1.05403775
87	1.053315859
88	1.052925584
89	1.052616642
90	1.052200263
91	1.051940649
92	1.051492903
93	1.051100648
94	1.050638866
95	1.050415586
96	1.049993627
97	1.049545674
98	1.049271702
99	1.04899322
100	1.048818271
101	1.048457202
102	1.048147153
103	1.047776724
104	1.047353803
105	1.046952493
106	1.046706655
107	1.04629269
108	1.046000057
109	1.045714523
110	1.045392916
111	1.045020661
112	1.044629117
113	1.0442486
114	1.043733843
115	1.043445221
116	1.04315889
117	1.042832447
118	1.042449968
119	1.042104791
120	1.041660234
121	1.041282119
122	1.040916523
123	1.040586702
124	1.040317631
125	1.03992509
126	1.039605233
127	1.03920123
128	1.038838137
129	1.038313588
130	1.038113628
131	1.037863586
132	1.037475111
133	1.037120444
134	1.036884394
135	1.03667597
136	1.03634212
137	1.036111434
138	1.035861103
139	1.035607316
140	1.035285646
141	1.034931269
142	1.034652582
143	1.034349372
144	1.034017075
145	1.033645568
146	1.033346134
147	1.033050547
148	1.032834367
149	1.032535895
150	1.032202521
151	1.03195278
152	1.031459347
153	1.031261538
154	1.031022136
155	1.030664349
156	1.030359252
157	1.029970178
158	1.02953746
159	1.029342294
160	1.028839757
161	1.028702518
162	1.028375421
163	1.028113001
164	1.027751664
165	1.027356263
166	1.027182544
167	1.02674623
168	1.026365133
169	1.026057991
170	1.025790501
171	1.025573844
172	1.025310199
173	1.025080783
174	1.024795501
175	1.024334784
176	1.024009504
177	1.023756295
