iter	Passed	Remaining
0	14	7138
1	23	5952
2	31	5246
3	40	5023
4	48	4767
5	56	4623
6	63	4502
7	71	4396
8	78	4307
9	88	4323
10	99	4406
11	108	4394
12	115	4344
13	124	4313
14	133	4309
15	140	4264
16	157	4469
17	168	4500
18	177	4481
19	188	4525
20	197	4501
21	205	4464
22	213	4425
23	221	4392
24	229	4359
25	238	4354
26	248	4345
27	256	4319
28	266	4329
29	274	4306
30	285	4322
31	295	4317
32	305	4329
33	315	4320
34	324	4310
35	331	4277
36	339	4251
37	347	4225
38	354	4195
39	363	4177
40	373	4179
41	382	4166
42	390	4145
43	398	4124
44	409	4143
45	421	4162
46	429	4140
47	436	4113
48	444	4089
49	451	4064
50	459	4047
51	470	4052
52	478	4038
53	487	4026
54	501	4059
55	511	4058
56	525	4086
57	535	4079
58	548	4099
59	560	4108
60	571	4110
61	580	4102
62	588	4079
63	597	4069
64	605	4052
65	613	4031
66	621	4019
67	629	4000
68	637	3983
69	650	3995
70	663	4008
71	672	3998
72	686	4016
73	695	4001
74	705	3998
75	714	3987
76	724	3978
77	737	3987
78	746	3977
79	755	3968
80	771	3993
81	788	4018
82	802	4033
83	821	4069
84	839	4100
85	851	4100
86	877	4165
87	891	4175
88	912	4213
89	926	4222
90	944	4243
91	962	4269
92	981	4296
93	998	4314
94	1019	4344
95	1038	4370
96	1059	4401
97	1077	4421
98	1098	4448
99	1113	4455
100	1125	4447
101	1136	4435
102	1148	4424
103	1167	4444
104	1186	4463
105	1206	4484
106	1217	4472
107	1225	4447
108	1233	4426
109	1241	4400
110	1248	4375
111	1256	4351
112	1263	4326
113	1270	4302
114	1277	4278
115	1286	4259
116	1294	4236
117	1301	4213
118	1308	4190
119	1316	4168
120	1323	4145
121	1330	4122
122	1338	4102
123	1346	4083
124	1354	4062
125	1361	4041
126	1368	4020
127	1376	3999
128	1383	3980
129	1391	3960
130	1398	3940
131	1406	3920
132	1413	3900
133	1421	3882
134	1429	3863
135	1436	3844
136	1443	3825
137	1451	3808
138	1459	3789
139	1466	3771
140	1474	3754
141	1481	3736
142	1490	3719
143	1497	3701
144	1504	3683
145	1511	3665
146	1519	3648
147	1526	3630
148	1535	3617
149	1543	3601
150	1550	3584
151	1559	3569
152	1567	3554
153	1575	3539
154	1583	3524
155	1592	3510
156	1600	3495
157	1608	3480
158	1616	3466
159	1623	3450
160	1631	3434
161	1639	3419
162	1646	3404
163	1654	3389
164	1662	3374
165	1669	3359
166	1677	3344
167	1684	3329
168	1692	3314
169	1699	3298
170	1706	3283
171	1714	3269
172	1722	3255
173	1730	3241
174	1737	3227
175	1745	3212
176	1752	3198
177	1761	3186
